Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
Agua en lago,10,10,9.75593,9.45187,8.91032,8.55926,8.59487,7.85443,7.97646,7.42229,6.90499,6.26615,6.21478,5.84137,6.25511,5.96189,5.50798,5.83393,5.26935,4.74674,4.52752,4.38919,4.69984,5.21904,5.34398,5.02994,5.44707,5.86005,5.61135,5.96511,5.89148,6.13842,5.8563,5.53193,5.58335,5.31316,5.40934,4.97917,4.98939,4.63066,4.57421,4.66038,4.26165,4.73368,4.91323,5.3659,5.5044,5.4766,5.08505,4.68024,4.31973,4.06173,3.72086,4.17759,3.84341,3.57336,3.53586,3.52137,3.99824,3.96685,3.78692,3.62729,4.07445,4.06861,3.77468,3.87322,3.98256,3.68094,4.03111,3.73483,3.52502,3.56743,3.76796,3.6821,4.09768,3.90216,3.55064,4.0451,4.03319,4.18955,4.47152,4.44754,4.04096,4.13005,4.2146,4.03345,3.83657,3.48228,3.54944,3.67166,3.54119,3.28679,3.48425,3.37239,3.60765,3.33046,3.05279,3.17983,2.94885,3.03199,3.0879
Bosques,1e+006,1e+006,1e+006,1e+006,1e+006,1e+006,1e+006,1e+006,1e+006,1e+006,1e+006,1e+006,999807,999591,999197,999007,998677,998131,997748,996889,995280,993292,990990,989371,988522,987862,986752,986259,986005,985635,985438,985208,985099,984855,984457,984087,983425,982910,981775,980666,979047,977329,975785,973346,971947,970821,970362,970089,969798,968942,967506,965285,962109,956634,954171,949383,943377,937336,931313,927668,923734,918931,913366,910802,908187,903451,899249,895679,890573,887664,882891,877324,871899,867413,862529,860642,856912,851597,849148,846570,845020,844159,843247,840805,839151,837712,835216,831333,826033,820927,816310,811247,805613,800481,795116,790339,784935,778904,773208,767069,761088
Deforestación,0,0,0,0,0,0,0,0,0,0,0,193.126,217.898,397.956,198.451,339.838,558.712,401.54,881.895,1640.14,2034.9,2368.21,1708.18,954.89,773.618,1229.26,624.046,388.946,508.867,338.286,373.791,254.716,390.756,547.163,522.372,818.333,678.794,1302.91,1288.09,1808.56,1922.39,1765.44,2675.54,1659.09,1398.58,741.821,560.438,581.208,1149.3,1736.63,2535.58,3510.74,5839.8,2878.08,5224.61,6486.84,6575.56,6609.86,4284.66,4605,5508.22,6309.54,3355.57,3426.76,5569.64,5074.98,4475.7,6040.21,3883.95,5769.67,6601.22,6500.87,5603.37,6034.38,3072.4,4929.74,6540.6,3713.43,3858.59,2849.26,2169.85,2227.63,3763.89,2992.64,2788.91,3855.38,5258.99,6702.35,6543.44,6086.79,6562.96,7164.97,6697.71,6962.4,6405.69,7061.62,7718.72,7418.08,7892.86,7767.93,7635.64
Evaporación,1,1,0.975593,0.945187,0.891032,0.855926,0.859487,0.785443,0.797646,0.742229,0.690499,0.626615,0.621478,0.584137,0.625511,0.596189,0.550798,0.583393,0.526935,0.474674,0.452752,0.438919,0.469984,0.521904,0.534398,0.502994,0.544707,0.586005,0.561135,0.596511,0.589148,0.613842,0.58563,0.553193,0.558335,0.531316,0.540934,0.497917,0.498939,0.463066,0.457421,0.466038,0.426165,0.473368,0.491323,0.53659,0.55044,0.54766,0.508505,0.468024,0.431973,0.406173,0.372086,0.417759,0.384341,0.357336,0.353586,0.352137,0.399824,0.396685,0.378692,0.362729,0.407445,0.406861,0.377468,0.387322,0.398256,0.368094,0.403111,0.373483,0.352502,0.356743,0.376796,0.36821,0.409768,0.390216,0.355064,0.40451,0.403319,0.418955,0.447152,0.444754,0.404096,0.413005,0.42146,0.403345,0.383657,0.348228,0.354944,0.367166,0.354119,0.328679,0.348425,0.337239,0.360765,0.333046,0.305279,0.317983,0.294885,0.303199,0.30879
FINAL TIME,101
INITIAL TIME,0
Lluvia,1,0.755933,0.671529,0.403637,0.539971,0.891543,0.119043,0.907471,0.243477,0.224932,0.051659,0.575242,0.248066,0.99788,0.332295,0.142277,0.876749,0.018814,0.004322,0.255458,0.314423,0.749568,0.989184,0.646844,0.220353,0.920131,0.957685,0.337307,0.914894,0.52288,0.836091,0.331717,0.261265,0.604607,0.28815,0.627492,0.110767,0.508134,0.14021,0.406621,0.543585,0.067309,0.898192,0.652925,0.943988,0.675095,0.522636,0.156109,0.103693,0.10752,0.173966,0.06531,0.828813,0.083584,0.114282,0.319842,0.339091,0.829006,0.368435,0.216755,0.21906,0.809897,0.401605,0.11293,0.476008,0.496664,0.096632,0.718263,0.106835,0.163671,0.394908,0.557278,0.290936,0.783793,0.214241,0.038696,0.849524,0.392601,0.559681,0.700921,0.423174,0.038173,0.493184,0.497557,0.240314,0.20646,0.029373,0.41538,0.477168,0.236695,0.099721,0.526135,0.23657,0.572494,0.083582,0.055371,0.432324,0.087,0.378029,0.359104,0.034892
Máx bosques,1e+006
Pesca,1,1,1,1,1,1,1,1,1,1,1,0.980687,0.97821,0.960204,0.980155,0.966016,0.944129,0.959846,0.91181,0.835986,0.79651,0.763179,0.829182,0.904511,0.922638,0.877074,0.937595,0.961105,0.949113,0.966171,0.962621,0.974528,0.960924,0.945284,0.947763,0.918167,0.932121,0.869709,0.871191,0.819144,0.807761,0.823456,0.732446,0.834091,0.860142,0.925818,0.943956,0.941879,0.88507,0.826337,0.746442,0.648926,0.41602,0.712192,0.477539,0.351316,0.342444,0.339014,0.571534,0.5395,0.449178,0.369046,0.664443,0.657324,0.443036,0.492502,0.55243,0.395979,0.611605,0.423033,0.339878,0.349913,0.439663,0.396562,0.69276,0.507026,0.34594,0.628657,0.614141,0.715074,0.783015,0.777237,0.623611,0.700736,0.721109,0.614462,0.474101,0.329765,0.345656,0.391321,0.343704,0.283503,0.330229,0.30376,0.359431,0.293838,0.228128,0.258192,0.210714,0.223207,0.236436
Regeneración,0,0,0,0,0,0,0,0,0,0,0,0,1.93088,4.08895,8.02293,9.92388,13.2156,18.6532,22.4662,31.0145,46.9797,66.6319,89.2857,105.157,113.466,119.912,130.724,135.524,137.988,141.591,143.501,145.737,146.794,149.161,153.018,156.596,162.998,167.983,178.932,189.607,205.144,221.567,236.282,259.434,272.665,283.28,287.596,290.162,292.897,300.936,314.381,335.1,364.55,414.854,437.289,480.545,534.167,587.374,639.689,670.999,704.493,744.972,791.286,812.42,833.832,872.269,906.004,934.381,974.525,997.168,1033.94,1076.27,1116.91,1150.08,1185.73,1199.37,1226.14,1263.79,1280.96,1298.89,1309.61,1315.54,1321.81,1338.52,1349.77,1359.51,1376.3,1402.18,1437.02,1470.06,1499.48,1531.26,1566.01,1597.11,1629.07,1657.03,1688.12,1722.13,1753.57,1786.74,1818.33
Río,1,0.755933,0.671529,0.403637,0.539971,0.891543,0.119043,0.907471,0.243477,0.224932,0.051659,0.575242,0.248066,0.99788,0.332295,0.142277,0.876749,0.018814,0.004322,0.255458,0.314423,0.749568,0.989184,0.646844,0.220353,0.920131,0.957685,0.337307,0.914894,0.52288,0.836091,0.331717,0.261265,0.604607,0.28815,0.627492,0.110767,0.508134,0.14021,0.406621,0.543585,0.067309,0.898192,0.652925,0.943988,0.675095,0.522636,0.156109,0.103693,0.10752,0.173966,0.06531,0.828813,0.083584,0.114282,0.319842,0.339091,0.829006,0.368435,0.216755,0.21906,0.809897,0.401605,0.11293,0.476008,0.496664,0.096632,0.718263,0.106835,0.163671,0.394908,0.557278,0.290936,0.783793,0.214241,0.038696,0.849524,0.392601,0.559681,0.700921,0.423174,0.038173,0.493184,0.497557,0.240314,0.20646,0.029373,0.41538,0.477168,0.236695,0.099721,0.526135,0.23657,0.572494,0.083582,0.055371,0.432324,0.087,0.378029,0.359104,0.034892
SAVEPER,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TIME STEP,1
